doc_id,fern_file,cur_full_url,old_url,action,category,status,classification,match_type,deleted_title,deleted_slug,replacement_file,replacement_id,replacement_title,original_file,deleted_file,added_commit,added_date,added_message,deleted_commit,deleted_date,deleted_message,error,verification_status,verification_detail
9154c656-935a-43ba-b30a-d6e1a7c0222b,compatibility-api/pages/sdks/methods/overview.mdx,,/compatibility-api/api-reference/rest-client-sdks/methods,redirect,slug_changed,deleted,fully_deleted,slug_tail:mismatch,REST Client SDK Methods,sdks/methods,,,,fern/products/compatibility-api/pages/sdks/methods/overview.mdx,fern/products/compatibility-api/pages/sdks/methods/overview.mdx,678974439a5a,2026-02-16 20:03:05 +0000,add `id` UUIDs to every page's frontmatter,20444c57291c,2026-02-24 18:03:01 -0500,delete useless methods overview doc,,mismatch,Wrong match cleared (was: swml/pages/reference/methods/overview.mdx). No matching content found in replacement or docs
ebb9f6b1-96b9-40a4-8676-6d2390166e40,platform/pages/calling/video/guides/_react/getting-started-video-api-react-native/index.mdx,,/platform/calling/video/guides/_react/getting-started-video-api-react-native,gone,known_deleted,deleted,fully_deleted,,Getting started with video API in React Native,/guides/video/getting-started-video-api-react-native,,,,fern/products/platform/pages/calling/video/guides/_react/getting-started-video-api-react-native/index.mdx,fern/products/platform/pages/calling/video/guides/_react/getting-started-video-api-react-native/index.mdx,678974439a5a,2026-02-16 20:03:05 +0000,add `id` UUIDs to every page's frontmatter,d7ec372d7407,2026-02-23 15:14:07 +0000,"Reorganize Platform docs: new AI tab, content consolidation, cross-product moves",,confirmed_deleted,No signature phrases found in any current page
4156c9d6-0257-4a20-8cc8-3f18aa9548e4,platform/pages/calling/video/guides/_react/getting-started-video-api-react/index.mdx,,/platform/calling/video/guides/_react/getting-started-video-api-react,gone,known_deleted,deleted,fully_deleted,,Getting started with video API in React,/guides/video/getting-started-video-api-with-react,,,,fern/products/platform/pages/calling/video/guides/_react/getting-started-video-api-react/index.mdx,fern/products/platform/pages/calling/video/guides/_react/getting-started-video-api-react/index.mdx,678974439a5a,2026-02-16 20:03:05 +0000,add `id` UUIDs to every page's frontmatter,d7ec372d7407,2026-02-23 15:14:07 +0000,"Reorganize Platform docs: new AI tab, content consolidation, cross-product moves",,confirmed_deleted,No signature phrases found in any current page
a975c05c-fccc-4408-a4b8-7bc60a066070,platform/pages/calling/video/guides/_react/using-events-in-react-and-react-native/index.mdx,,/platform/calling/video/guides/_react/using-events-in-react-and-react-native,gone,known_deleted,deleted,fully_deleted,,Using events in React and React Native,/guides/video/using-events-in-react-and-react-native,,,,fern/products/platform/pages/calling/video/guides/_react/using-events-in-react-and-react-native/index.mdx,fern/products/platform/pages/calling/video/guides/_react/using-events-in-react-and-react-native/index.mdx,678974439a5a,2026-02-16 20:03:05 +0000,add `id` UUIDs to every page's frontmatter,d7ec372d7407,2026-02-23 15:14:07 +0000,"Reorganize Platform docs: new AI tab, content consolidation, cross-product moves",,confirmed_deleted,No signature phrases found in any current page
2d9eba4a-4326-4551-a88a-db37f39034bf,platform/pages/calling/video/guides/_react/using-hooks-to-track-call-state/index.mdx,,/platform/calling/video/guides/_react/using-hooks-to-track-call-state,gone,known_deleted,deleted,fully_deleted,,Using hooks to track call state in React and React Native,/guides/video/using-hooks-to-track-ui,,,,fern/products/platform/pages/calling/video/guides/_react/using-hooks-to-track-call-state/index.mdx,fern/products/platform/pages/calling/video/guides/_react/using-hooks-to-track-call-state/index.mdx,678974439a5a,2026-02-16 20:03:05 +0000,add `id` UUIDs to every page's frontmatter,d7ec372d7407,2026-02-23 15:14:07 +0000,"Reorganize Platform docs: new AI tab, content consolidation, cross-product moves",,confirmed_deleted,No signature phrases found in any current page
733c74cf-cea3-4853-b9c9-8e16c58b9e39,platform/pages/messaging/sms/carrier-passthrough-fees/index.mdx,,/sms/carrier-fees,redirect,matched_changed,deleted,fully_deleted,,Carrier fees,/sms/carrier-fees,,,,fern/products/platform/pages/messaging/sms/carrier-passthrough-fees/index.mdx,fern/products/platform/pages/messaging/sms/carrier-passthrough-fees/index.mdx,678974439a5a,2026-02-16 20:03:05 +0000,add `id` UUIDs to every page's frontmatter,d7ec372d7407,2026-02-23 15:14:07 +0000,"Reorganize Platform docs: new AI tab, content consolidation, cross-product moves",,confirmed_deleted,No signature phrases found in any current page
a6d53a6b-f310-4d4b-baa5-52004d614b0b,platform/pages/platform/call-fabric/resources/dialogflow-agents.mdx,/platform/call-fabric,/platform/call-fabric/resources/dialogflow-agents,redirect,matched_changed,deleted,fully_deleted,slug_parent:mismatch,Dialogflow agent,/platform/call-fabric/resources/dialogflow-agents,,,,fern/products/platform/pages/platform/call-fabric/resources/dialogflow-agents.mdx,fern/products/platform/pages/platform/call-fabric/resources/dialogflow-agents.mdx,678974439a5a,2026-02-16 20:03:05 +0000,add `id` UUIDs to every page's frontmatter,7c1cadc6873f,2026-02-20 20:45:05 +0000,Remove outdated and deprecated platform docs,,mismatch,Ambiguous match cleared (was: platform/pages/platform/call-fabric/resources.mdx). No matching content found in replacement or docs
96d35be3-8fc1-49bd-9684-088fc93e4331,platform/pages/platform/call-fabric/resources/freeswitch-connectors.mdx,/platform/call-fabric/resources,/platform/call-fabric/resources/freeswitch-connectors,redirect,matched_changed,deleted,fully_deleted,slug_parent:mismatch,FreeSWITCH connectors,/platform/call-fabric/resources/freeswitch-connectors,,,,fern/products/platform/pages/platform/call-fabric/resources/freeswitch-connectors.mdx,fern/products/platform/pages/platform/call-fabric/resources/freeswitch-connectors.mdx,678974439a5a,2026-02-16 20:03:05 +0000,add `id` UUIDs to every page's frontmatter,7c1cadc6873f,2026-02-20 20:45:05 +0000,Remove outdated and deprecated platform docs,,mismatch,Ambiguous match cleared (was: platform/pages/platform/call-fabric/resources.mdx). No matching content found in replacement or docs
147c3d56-2191-43ac-a39a-47a2f36b2abc,platform/pages/platform/call-fabric/resources/relay-applications.mdx,/platform/call-fabric,/platform/call-fabric/resources/relay-applications,redirect,matched_changed,deleted,fully_deleted,slug_parent:mismatch,RELAY applications,/platform/call-fabric/resources/relay-applications,,,,fern/products/platform/pages/platform/call-fabric/resources/relay-applications.mdx,fern/products/platform/pages/platform/call-fabric/resources/relay-applications.mdx,678974439a5a,2026-02-16 20:03:05 +0000,add `id` UUIDs to every page's frontmatter,7c1cadc6873f,2026-02-20 20:45:05 +0000,Remove outdated and deprecated platform docs,,mismatch,Ambiguous match cleared (was: platform/pages/platform/call-fabric/resources.mdx). No matching content found in replacement or docs
3f4bb5d0-047a-445b-9fb4-60beb5a11607,platform/pages/platform/call-fabric/resources/swml-scripts.mdx,/swml,/platform/call-fabric/resources/swml-scripts,redirect,matched_changed,deleted,fully_deleted,slug_parent:mismatch,SWML scripts,/platform/call-fabric/resources/swml-scripts,,,,fern/products/platform/pages/platform/call-fabric/resources/swml-scripts.mdx,fern/products/platform/pages/platform/call-fabric/resources/swml-scripts.mdx,678974439a5a,2026-02-16 20:03:05 +0000,add `id` UUIDs to every page's frontmatter,7c1cadc6873f,2026-02-20 20:45:05 +0000,Remove outdated and deprecated platform docs,,mismatch,Ambiguous match cleared (was: platform/pages/platform/call-fabric/resources.mdx). No matching content found in replacement or docs
