doc_id,title,slug,file_path,product
08b1ec33-daee-4354-82f9-425d8df44b41,Messaging Overview,cxml/messaging,fern/products/compatibility-api/pages/cxml/messaging/overview.mdx,compatibility-api
,,,,
,,/ai/get-started/prompt-engineering/advanced-techniques/chain-of-thought,fern/products/platform/pages/ai/guides/prompt-engineering/advanced-techniques/chain-of-thought.mdx,platform
,Advanced prompt engineering techniques,/ai/get-started/prompt-engineering/advanced-techniques,fern/products/platform/pages/ai/guides/prompt-engineering/advanced-techniques/index.mdx,platform
269d6171-a7cd-42f6-bc32-c864176eb0d0,Managing long context windows,/ai/get-started/prompt-engineering/advanced-techniques/managing-long-context,fern/products/platform/pages/ai/guides/prompt-engineering/advanced-techniques/managing-long-context.mdx,platform
e2e82378-20f1-417b-b0ce-3800ed4fd6c6,Multishot prompting,/ai/get-started/prompt-engineering/advanced-techniques/multishot-prompting,fern/products/platform/pages/ai/guides/prompt-engineering/advanced-techniques/multishot-prompting.mdx,platform
27d975aa-40b8-4630-a227-ebad8b801bfa,RISEN prompting,/ai/get-started/prompt-engineering/advanced-techniques/risen-framework,fern/products/platform/pages/ai/guides/prompt-engineering/advanced-techniques/risen-framework.mdx,platform
caa6d5c6-fa16-4804-98b9-c759fd385260,Analysis tasks,/ai/get-started/prompt-engineering/task-analysis,fern/products/platform/pages/ai/guides/prompt-engineering/task-analysis.mdx,platform
016eadae-f6e7-4df3-a27c-1c6dcc67c0be,Generation tasks,/ai/get-started/prompt-engineering/task-generation,fern/products/platform/pages/ai/guides/prompt-engineering/task-generation.mdx,platform
41ba9eb7-8d48-4198-add0-fac1e7610c03,Calling,/calling,fern/products/platform/pages/calling/index.mdx,platform
f2a57053-a21c-4d37-9b83-bcb80096ee07,Get started,getting-started,fern/products/platform/pages/getting-started.mdx,platform
0979caf7-b79c-4dc7-b4db-40ba8384428a,Basic implementation guide,/tools/c2c/guides/basic-implementation,fern/products/platform/pages/tools/click-to-call/guides/basic-implementation.mdx,platform
867adbab-00bd-43b7-b6b4-f4699cecdd7b,Custom button styling,/tools/c2c/guides/custom-button,fern/products/platform/pages/tools/click-to-call/guides/custom-button.mdx,platform
eaad912f-42c6-4bee-9ea4-7f461bdbca8f,Delayed loading,/tools/c2c/guides/delayed-loading,fern/products/platform/pages/tools/click-to-call/guides/delayed-loading.mdx,platform
584f7b80-6ea7-441b-9229-957709187bb6,Modal integration,/tools/c2c/guides/modal-integration,fern/products/platform/pages/tools/click-to-call/guides/modal-integration.mdx,platform
1c1acab8-34d7-4b39-8321-4529d463aee2,Working with callback functions,/tools/c2c/guides/working-with-callbacks,fern/products/platform/pages/tools/click-to-call/guides/working-with-callbacks.mdx,platform
7a1538e3-fa4e-4377-8791-3b248bb6f768,Make and receive calls,/guides/make-and-receive-calls,fern/products/realtime-sdk/pages/latest/guides/voice/make-and-receive-calls.mdx,realtime-sdk
1ac3268e-33c8-44b3-8fa1-f9f514edb76c,Chat Client,reference/chat/client,fern/products/realtime-sdk/pages/latest/tech-ref/chat/client/index.mdx,realtime-sdk
68fea3a7-cc0d-4e8f-a22b-67eb1f94b1e0,Events,reference/messaging/client/events,fern/products/realtime-sdk/pages/latest/tech-ref/messaging/client/events.mdx,realtime-sdk
c21553f3-b1aa-47a0-ade1-979572194f4d,Messaging Client,reference/messaging/client,fern/products/realtime-sdk/pages/latest/tech-ref/messaging/client/index.mdx,realtime-sdk
b112159d-a862-44c4-9da4-934d684fdddc,PubSub Client,reference/pubsub/client,fern/products/realtime-sdk/pages/latest/tech-ref/pubsub/client/index.mdx,realtime-sdk
817ae394-a31e-467d-88cc-d2a549cee8e4,Task Client,reference/task/client,fern/products/realtime-sdk/pages/latest/tech-ref/task/client/index.mdx,realtime-sdk
9131614d-c6ad-497e-89f9-424ce1e66770,Video Client,reference/video/client,fern/products/realtime-sdk/pages/latest/tech-ref/video/client/index.mdx,realtime-sdk
cc6e80ae-5c68-4878-bbe5-7ab26aa2eef9,RoomSession,reference/video/room-session,fern/products/realtime-sdk/pages/latest/tech-ref/video/roomsession/index.mdx,realtime-sdk
5108bdf5-6ee7-44aa-94c8-242863b78ec8,Call,reference/voice/call,fern/products/realtime-sdk/pages/latest/tech-ref/voice/call/index.mdx,realtime-sdk
bb1a95f4-c43f-4a16-aa16-d96680f98f01,Voice Client,reference/voice/client,fern/products/realtime-sdk/pages/latest/tech-ref/voice/client/index.mdx,realtime-sdk
ef18c80d-4bdd-42db-9611-41223f6b4ef3,Chat Client,reference/chat/client,fern/products/realtime-sdk/pages/v3/tech-ref/chat/client/index.mdx,realtime-sdk
888135e0-b3df-461f-9624-d89d7b067c8a,Messaging Client,reference/messaging/client,fern/products/realtime-sdk/pages/v3/tech-ref/messaging/client/index.mdx,realtime-sdk
7d7d2884-9319-4c8e-9329-37e8dcabcd89,PubSub Client,reference/pubsub/client,fern/products/realtime-sdk/pages/v3/tech-ref/pubsub/client/index.mdx,realtime-sdk
2ff45949-f7b9-467e-a3c0-447c5ce85a8d,Task Client,reference/task/client,fern/products/realtime-sdk/pages/v3/tech-ref/task/client/index.mdx,realtime-sdk
720d0446-1b7f-4bdc-a51a-a39b6b319022,Video Client,reference/video/client,fern/products/realtime-sdk/pages/v3/tech-ref/video/client/index.mdx,realtime-sdk
27f63f1e-11bc-49f6-ac3a-a8fb06d86d7b,RoomSession,reference/video/room-session,fern/products/realtime-sdk/pages/v3/tech-ref/video/roomsession/index.mdx,realtime-sdk
28e2c9c0-0cd0-4f27-b0aa-51fd8c27acec,Call,reference/voice/call,fern/products/realtime-sdk/pages/v3/tech-ref/voice/call/index.mdx,realtime-sdk
ff1e62ac-0124-46dd-8f4a-fa47e982544d,Voice Client,reference/voice/client,fern/products/realtime-sdk/pages/v3/tech-ref/voice/client/index.mdx,realtime-sdk
